Date	Inc_case	lessthan1	1to4	5to14	15to24	25to44	45to64	65to74	75	MRC_death	ONS_deaths	Rt
09/02/2020	0	0	0	0	0	0	0	0	0	0	0	0
10/02/2020	0	0	0	0	0	0	0	0	0	0	0	0
11/02/2020	0	0	0	0	0	0	0	0	0	0	0	0
12/02/2020	0	0	0	0	0	0	0	0	0	0	0	0
13/02/2020	0	0	0	0	0	0	0	0	0	0	0	0
14/02/2020	0	0	0	0	0	0	0	0	0	0	0	0
15/02/2020	0	0	0	0	0	0	0	0	0	0	0	0
16/02/2020	0	0	0	0	0	0	0	0	0	0	0	0
17/02/2020	151	1.03	0	36.1	24.2	48.7	26.5	5.56	2.48	0	0.00	2.8
18/02/2020	181	1.24	7.67	43.1	29.2	58.2	31.7	6.65	2.97	0	0.00	2.8
19/02/2020	228	1.56	9.67	54.3	36.8	73.3	39.9	8.38	3.74	0	0.00	2.8
20/02/2020	285	1.95	12.1	67.9	46.1	91.7	49.9	10.5	4.68	0	0.00	2.8
21/02/2020	356	2.44	15.1	84.8	57.5	115	62.3	13.1	5.84	0	0.00	2.8
22/02/2020	444	3.04	18.9	106	71.9	143	77.9	16.4	7.3	0	0.00	2.8
23/02/2020	556	3.81	23.6	133	90	179	97.5	20.5	9.14	0	0.00	2.8
24/02/2020	695	4.76	29.5	166	113	224	122	25.7	11.4	0	0.00	2.8
25/02/2020	870	5.96	36.9	207	141	280	153	32.1	14.3	0	0.00	2.8
26/02/2020	1090	7.45	46.2	259	176	350	191	40.2	17.9	0	0.00	2.8
27/02/2020	1360	9.32	57.8	325	221	438	239	50.4	22.4	0	0.00	2.8
28/02/2020	1710	11.7	72.4	407	277	548	299	63.1	28.1	0	0.00	2.8
29/02/2020	2140	14.6	90.7	509	347	686	375	79.1	35.2	0	0.00	2.8
01/03/2020	2680	18.3	113	638	434	859	470	99.2	44.2	0	0.00	2.8
02/03/2020	3350	22.9	142	799	544	1080	589	124	55.4	0	0.00	2.8
03/03/2020	4200	28.7	178	1000	682	1350	738	156	69.5	0	0.00	2.8
04/03/2020	5260	36	223	1250	844	1690	925	196	87.2	0	0.00	2.8
05/03/2020	6600	45.1	280	1570	1070	2110	1160	246	109	3	4.00	2.8
06/03/2020	8270	56.4	350	1970	1340	2650	1460	309	137	0	2.00	2.8
07/03/2020	10400	70.7	439	2470	1690	3310	1830	388	173	0	0.00	2.8
08/03/2020	13000	88.7	551	3100	2120	4150	2290	487	217	3	2.00	2.8
09/03/2020	16300	111	690	3880	2650	5210	2880	612	272	5	5.00	2.8
